id,name,height,weight,base_experience,generation,is_legendary,type_1,type_2,hp,attack,defense,special-attack,special-defense,speed
1,bulbasaur,7,69,64,generation-i,False,grass,poison,45,49,49,65,65,45
2,ivysaur,10,130,142,generation-i,False,grass,poison,60,62,63,80,80,60
3,venusaur,20,1000,236,generation-i,False,grass,poison,80,82,83,100,100,80
4,charmander,6,85,62,generation-i,False,fire,,39,52,43,60,50,65
5,charmeleon,11,190,142,generation-i,False,fire,,58,64,58,80,65,80
6,charizard,17,905,240,generation-i,False,fire,flying,78,84,78,109,85,100
7,squirtle,5,90,63,generation-i,False,water,,44,48,65,50,64,43
8,wartortle,10,225,142,generation-i,False,water,,59,63,80,65,80,58
9,blastoise,16,855,239,generation-i,False,water,,79,83,100,85,105,78
10,caterpie,3,29,39,generation-i,False,bug,,45,30,35,20,20,45
11,metapod,7,99,72,generation-i,False,bug,,50,20,55,25,25,30
12,butterfree,11,320,178,generation-i,False,bug,flying,60,45,50,90,80,70
13,weedle,3,32,39,generation-i,False,bug,poison,40,35,30,20,20,50
14,kakuna,6,100,72,generation-i,False,bug,poison,45,25,50,25,25,35
15,beedrill,10,295,178,generation-i,False,bug,poison,65,90,40,45,80,75
16,pidgey,3,18,50,generation-i,False,normal,flying,40,45,40,35,35,56
17,pidgeotto,11,300,122,generation-i,False,normal,flying,63,60,55,50,50,71
18,pidgeot,15,395,216,generation-i,False,normal,flying,83,80,75,70,70,101
19,rattata,3,35,51,generation-i,False,normal,,30,56,35,25,35,72
20,raticate,7,185,145,generation-i,False,normal,,55,81,60,50,70,97
21,spearow,3,20,52,generation-i,False,normal,flying,40,60,30,31,31,70
22,fearow,12,380,155,generation-i,False,normal,flying,65,90,65,61,61,100
23,ekans,20,69,58,generation-i,False,poison,,35,60,44,40,54,55
24,arbok,35,650,157,generation-i,False,poison,,60,95,69,65,79,80
25,pikachu,4,60,112,generation-i,False,electric,,35,55,40,50,50,90
26,raichu,8,300,218,generation-i,False,electric,,60,90,55,90,80,110
27,sandshrew,6,120,60,generation-i,False,ground,,50,75,85,20,30,40
28,sandslash,10,295,158,generation-i,False,ground,,75,100,110,45,55,65
29,nidoran-f,4,70,55,generation-i,False,poison,,55,47,52,40,40,41
30,nidorina,8,200,128,generation-i,False,poison,,70,62,67,55,55,56
31,nidoqueen,13,600,227,generation-i,False,poison,ground,90,92,87,75,85,76
32,nidoran-m,5,90,55,generation-i,False,poison,,46,57,40,40,40,50
33,nidorino,9,195,128,generation-i,False,poison,,61,72,57,55,55,65
34,nidoking,14,620,227,generation-i,False,poison,ground,81,102,77,85,75,85
35,clefairy,6,75,113,generation-i,False,fairy,,70,45,48,60,65,35
36,clefable,13,400,217,generation-i,False,fairy,,95,70,73,95,90,60
37,vulpix,6,99,60,generation-i,False,fire,,38,41,40,50,65,65
38,ninetales,11,199,177,generation-i,False,fire,,73,76,75,81,100,100
39,jigglypuff,5,55,95,generation-i,False,normal,fairy,115,45,20,45,25,20
40,wigglytuff,10,120,196,generation-i,False,normal,fairy,140,70,45,85,50,45
41,zubat,8,75,49,generation-i,False,poison,flying,40,45,35,30,40,55
42,golbat,16,550,159,generation-i,False,poison,flying,75,80,70,65,75,90
43,oddish,5,54,64,generation-i,False,grass,poison,45,50,55,75,65,30
44,gloom,8,86,138,generation-i,False,grass,poison,60,65,70,85,75,40
45,vileplume,12,186,221,generation-i,False,grass,poison,75,80,85,110,90,50
46,paras,3,54,57,generation-i,False,bug,grass,35,70,55,45,55,25
47,parasect,10,295,142,generation-i,False,bug,grass,60,95,80,60,80,30
48,venonat,10,300,61,generation-i,False,bug,poison,60,55,50,40,55,45
49,venomoth,15,125,158,generation-i,False,bug,poison,70,65,60,90,75,90
50,diglett,2,8,53,generation-i,False,ground,,10,55,25,35,45,95
51,dugtrio,7,333,149,generation-i,False,ground,,35,100,50,50,70,120
52,meowth,4,42,58,generation-i,False,normal,,40,45,35,40,40,90
53,persian,10,320,154,generation-i,False,normal,,65,70,60,65,65,115
54,psyduck,8,196,64,generation-i,False,water,,50,52,48,65,50,55
55,golduck,17,766,175,generation-i,False,water,,80,82,78,95,80,85
56,mankey,5,280,61,generation-i,False,fighting,,40,80,35,35,45,70
57,primeape,10,320,159,generation-i,False,fighting,,65,105,60,60,70,95
58,growlithe,7,190,70,generation-i,False,fire,,55,70,45,70,50,60
59,arcanine,19,1550,194,generation-i,False,fire,,90,110,80,100,80,95
60,poliwag,6,124,60,generation-i,False,water,,40,50,40,40,40,90
61,poliwhirl,10,200,135,generation-i,False,water,,65,65,65,50,50,90
62,poliwrath,13,540,230,generation-i,False,water,fighting,90,95,95,70,90,70
63,abra,9,195,62,generation-i,False,psychic,,25,20,15,105,55,90
64,kadabra,13,565,140,generation-i,False,psychic,,40,35,30,120,70,105
65,alakazam,15,480,225,generation-i,False,psychic,,55,50,45,135,95,120
66,machop,8,195,61,generation-i,False,fighting,,70,80,50,35,35,35
67,machoke,15,705,142,generation-i,False,fighting,,80,100,70,50,60,45
68,machamp,16,1300,227,generation-i,False,fighting,,90,130,80,65,85,55
69,bellsprout,7,40,60,generation-i,False,grass,poison,50,75,35,70,30,40
70,weepinbell,10,64,137,generation-i,False,grass,poison,65,90,50,85,45,55
71,victreebel,17,155,221,generation-i,False,grass,poison,80,105,65,100,70,70
72,tentacool,9,455,67,generation-i,False,water,poison,40,40,35,50,100,70
73,tentacruel,16,550,180,generation-i,False,water,poison,80,70,65,80,120,100
74,geodude,4,200,60,generation-i,False,rock,ground,40,80,100,30,30,20
75,graveler,10,1050,137,generation-i,False,rock,ground,55,95,115,45,45,35
76,golem,14,3000,223,generation-i,False,rock,ground,80,120,130,55,65,45
77,ponyta,10,300,82,generation-i,False,fire,,50,85,55,65,65,90
78,rapidash,17,950,175,generation-i,False,fire,,65,100,70,80,80,105
79,slowpoke,12,360,63,generation-i,False,water,psychic,90,65,65,40,40,15
80,slowbro,16,785,172,generation-i,False,water,psychic,95,75,110,100,80,30
81,magnemite,3,60,65,generation-i,False,electric,steel,25,35,70,95,55,45
82,magneton,10,600,163,generation-i,False,electric,steel,50,60,95,120,70,70
83,farfetchd,8,150,132,generation-i,False,normal,flying,52,90,55,58,62,60
84,doduo,14,392,62,generation-i,False,normal,flying,35,85,45,35,35,75
85,dodrio,18,852,165,generation-i,False,normal,flying,60,110,70,60,60,110
86,seel,11,900,65,generation-i,False,water,,65,45,55,45,70,45
87,dewgong,17,1200,166,generation-i,False,water,ice,90,70,80,70,95,70
88,grimer,9,300,65,generation-i,False,poison,,80,80,50,40,50,25
89,muk,12,300,175,generation-i,False,poison,,105,105,75,65,100,50
90,shellder,3,40,61,generation-i,False,water,,30,65,100,45,25,40
91,cloyster,15,1325,184,generation-i,False,water,ice,50,95,180,85,45,70
92,gastly,13,1,62,generation-i,False,ghost,poison,30,35,30,100,35,80
93,haunter,16,1,142,generation-i,False,ghost,poison,45,50,45,115,55,95
94,gengar,15,405,225,generation-i,False,ghost,poison,60,65,60,130,75,110
95,onix,88,2100,77,generation-i,False,rock,ground,35,45,160,30,45,70
96,drowzee,10,324,66,generation-i,False,psychic,,60,48,45,43,90,42
97,hypno,16,756,169,generation-i,False,psychic,,85,73,70,73,115,67
98,krabby,4,65,65,generation-i,False,water,,30,105,90,25,25,50
99,kingler,13,600,166,generation-i,False,water,,55,130,115,50,50,75
100,voltorb,5,104,66,generation-i,False,electric,,40,30,50,55,55,100
101,electrode,12,666,172,generation-i,False,electric,,60,50,70,80,80,150
102,exeggcute,4,25,65,generation-i,False,grass,psychic,60,40,80,60,45,40
103,exeggutor,20,1200,186,generation-i,False,grass,psychic,95,95,85,125,75,55
104,cubone,4,65,64,generation-i,False,ground,,50,50,95,40,50,35
105,marowak,10,450,149,generation-i,False,ground,,60,80,110,50,80,45
106,hitmonlee,15,498,159,generation-i,False,fighting,,50,120,53,35,110,87
107,hitmonchan,14,502,159,generation-i,False,fighting,,50,105,79,35,110,76
108,lickitung,12,655,77,generation-i,False,normal,,90,55,75,60,75,30
109,koffing,6,10,68,generation-i,False,poison,,40,65,95,60,45,35
110,weezing,12,95,172,generation-i,False,poison,,65,90,120,85,70,60
111,rhyhorn,10,1150,69,generation-i,False,ground,rock,80,85,95,30,30,25
112,rhydon,19,1200,170,generation-i,False,ground,rock,105,130,120,45,45,40
113,chansey,11,346,395,generation-i,False,normal,,250,5,5,35,105,50
114,tangela,10,350,87,generation-i,False,grass,,65,55,115,100,40,60
115,kangaskhan,22,800,172,generation-i,False,normal,,105,95,80,40,80,90
116,horsea,4,80,59,generation-i,False,water,,30,40,70,70,25,60
117,seadra,12,250,154,generation-i,False,water,,55,65,95,95,45,85
118,goldeen,6,150,64,generation-i,False,water,,45,67,60,35,50,63
119,seaking,13,390,158,generation-i,False,water,,80,92,65,65,80,68
120,staryu,8,345,68,generation-i,False,water,,30,45,55,70,55,85
121,starmie,11,800,182,generation-i,False,water,psychic,60,75,85,100,85,115
122,mr-mime,13,545,161,generation-i,False,psychic,fairy,40,45,65,100,120,90
123,scyther,15,560,100,generation-i,False,bug,flying,70,110,80,55,80,105
124,jynx,14,406,159,generation-i,False,ice,psychic,65,50,35,115,95,95
125,electabuzz,11,300,172,generation-i,False,electric,,65,83,57,95,85,105
126,magmar,13,445,173,generation-i,False,fire,,65,95,57,100,85,93
127,pinsir,15,550,175,generation-i,False,bug,,65,125,100,55,70,85
128,tauros,14,884,172,generation-i,False,normal,,75,100,95,40,70,110
129,magikarp,9,100,40,generation-i,False,water,,20,10,55,15,20,80
130,gyarados,65,2350,189,generation-i,False,water,flying,95,125,79,60,100,81
131,lapras,25,2200,187,generation-i,False,water,ice,130,85,80,85,95,60
132,ditto,3,40,101,generation-i,False,normal,,48,48,48,48,48,48
133,eevee,3,65,65,generation-i,False,normal,,55,55,50,45,65,55
134,vaporeon,10,290,184,generation-i,False,water,,130,65,60,110,95,65
135,jolteon,8,245,184,generation-i,False,electric,,65,65,60,110,95,130
136,flareon,9,250,184,generation-i,False,fire,,65,130,60,95,110,65
137,porygon,8,365,79,generation-i,False,normal,,65,60,70,85,75,40
138,omanyte,4,75,71,generation-i,False,rock,water,35,40,100,90,55,35
139,omastar,10,350,173,generation-i,False,rock,water,70,60,125,115,70,55
140,kabuto,5,115,71,generation-i,False,rock,water,30,80,90,55,45,55
141,kabutops,13,405,173,generation-i,False,rock,water,60,115,105,65,70,80
142,aerodactyl,18,590,180,generation-i,False,rock,flying,80,105,65,60,75,130
143,snorlax,21,4600,189,generation-i,False,normal,,160,110,65,65,110,30
144,articuno,17,554,261,generation-i,True,ice,flying,90,85,100,95,125,85
145,zapdos,16,526,261,generation-i,True,electric,flying,90,90,85,125,90,100
146,moltres,20,600,261,generation-i,True,fire,flying,90,100,90,125,85,90
147,dratini,18,33,60,generation-i,False,dragon,,41,64,45,50,50,50
148,dragonair,40,165,147,generation-i,False,dragon,,61,84,65,70,70,70
149,dragonite,22,2100,270,generation-i,False,dragon,flying,91,134,95,100,100,80
150,mewtwo,20,1220,306,generation-i,True,psychic,,106,110,90,154,90,130
151,mew,4,40,270,generation-i,False,psychic,,100,100,100,100,100,100
152,chikorita,9,64,64,generation-ii,False,grass,,45,49,65,49,65,45
153,bayleef,12,158,142,generation-ii,False,grass,,60,62,80,63,80,60
154,meganium,18,1005,236,generation-ii,False,grass,,80,82,100,83,100,80
155,cyndaquil,5,79,62,generation-ii,False,fire,,39,52,43,60,50,65
156,quilava,9,190,142,generation-ii,False,fire,,58,64,58,80,65,80
157,typhlosion,17,795,240,generation-ii,False,fire,,78,84,78,109,85,100
158,totodile,6,95,63,generation-ii,False,water,,50,65,64,44,48,43
159,croconaw,11,250,142,generation-ii,False,water,,65,80,80,59,63,58
160,feraligatr,23,888,239,generation-ii,False,water,,85,105,100,79,83,78
161,sentret,8,60,43,generation-ii,False,normal,,35,46,34,35,45,20
162,furret,18,325,145,generation-ii,False,normal,,85,76,64,45,55,90
163,hoothoot,7,212,52,generation-ii,False,normal,flying,60,30,30,36,56,50
164,noctowl,16,408,158,generation-ii,False,normal,flying,100,50,50,86,96,70
165,ledyba,10,108,53,generation-ii,False,bug,flying,40,20,30,40,80,55
166,ledian,14,356,137,generation-ii,False,bug,flying,55,35,50,55,110,85
167,spinarak,5,85,50,generation-ii,False,bug,poison,40,60,40,40,40,30
168,ariados,11,335,140,generation-ii,False,bug,poison,70,90,70,60,70,40
169,crobat,18,750,241,generation-ii,False,poison,flying,85,90,80,70,80,130
170,chinchou,5,120,66,generation-ii,False,water,electric,75,38,38,56,56,67
171,lanturn,12,225,161,generation-ii,False,water,electric,125,58,58,76,76,67
172,pichu,3,20,41,generation-ii,False,electric,,20,40,15,35,35,60
173,cleffa,3,30,44,generation-ii,False,fairy,,50,25,28,45,55,15
174,igglybuff,3,10,42,generation-ii,False,normal,fairy,90,30,15,40,20,15
175,togepi,3,15,49,generation-ii,False,fairy,,35,20,65,40,65,20
176,togetic,6,32,142,generation-ii,False,fairy,flying,55,40,85,80,105,40
177,natu,2,20,64,generation-ii,False,psychic,flying,40,50,45,70,45,70
178,xatu,15,150,165,generation-ii,False,psychic,flying,65,75,70,95,70,95
179,mareep,6,78,56,generation-ii,False,electric,,55,40,40,65,45,35
180,flaaffy,8,133,128,generation-ii,False,electric,,70,55,55,80,60,45
181,ampharos,14,615,230,generation-ii,False,electric,,90,75,85,115,90,55
182,bellossom,4,58,221,generation-ii,False,grass,,75,80,95,90,100,50
183,marill,4,85,88,generation-ii,False,water,fairy,70,20,50,20,50,40
184,azumarill,8,285,189,generation-ii,False,water,fairy,100,50,80,60,80,50
185,sudowoodo,12,380,144,generation-ii,False,rock,,70,100,115,30,65,30
186,politoed,11,339,225,generation-ii,False,water,,90,75,75,90,100,70
187,hoppip,4,5,50,generation-ii,False,grass,flying,35,35,40,35,55,50
188,skiploom,6,10,119,generation-ii,False,grass,flying,55,45,50,45,65,80
189,jumpluff,8,30,207,generation-ii,False,grass,flying,75,55,70,55,95,110
190,aipom,8,115,72,generation-ii,False,normal,,55,70,55,40,55,85
191,sunkern,3,18,36,generation-ii,False,grass,,30,30,30,30,30,30
192,sunflora,8,85,149,generation-ii,False,grass,,75,75,55,105,85,30
193,yanma,12,380,78,generation-ii,False,bug,flying,65,65,45,75,45,95
194,wooper,4,85,42,generation-ii,False,water,ground,55,45,45,25,25,15
195,quagsire,14,750,151,generation-ii,False,water,ground,95,85,85,65,65,35
196,espeon,9,265,184,generation-ii,False,psychic,,65,65,60,130,95,110
197,umbreon,10,270,184,generation-ii,False,dark,,95,65,110,60,130,65
198,murkrow,5,21,81,generation-ii,False,dark,flying,60,85,42,85,42,91
199,slowking,20,795,172,generation-ii,False,water,psychic,95,75,80,100,110,30
200,misdreavus,7,10,87,generation-ii,False,ghost,,60,60,60,85,85,85
201,unown,5,50,118,generation-ii,False,psychic,,48,72,48,72,48,48
202,wobbuffet,13,285,142,generation-ii,False,psychic,,190,33,58,33,58,33
203,girafarig,15,415,159,generation-ii,False,normal,psychic,70,80,65,90,65,85
204,pineco,6,72,58,generation-ii,False,bug,,50,65,90,35,35,15
205,forretress,12,1258,163,generation-ii,False,bug,steel,75,90,140,60,60,40
206,dunsparce,15,140,145,generation-ii,False,normal,,100,70,70,65,65,45
207,gligar,11,648,86,generation-ii,False,ground,flying,65,75,105,35,65,85
208,steelix,92,4000,179,generation-ii,False,steel,ground,75,85,200,55,65,30
209,snubbull,6,78,60,generation-ii,False,fairy,,60,80,50,40,40,30
210,granbull,14,487,158,generation-ii,False,fairy,,90,120,75,60,60,45
211,qwilfish,5,39,88,generation-ii,False,water,poison,65,95,85,55,55,85
212,scizor,18,1180,175,generation-ii,False,bug,steel,70,130,100,55,80,65
213,shuckle,6,205,177,generation-ii,False,bug,rock,20,10,230,10,230,5
214,heracross,15,540,175,generation-ii,False,bug,fighting,80,125,75,40,95,85
215,sneasel,9,280,86,generation-ii,False,dark,ice,55,95,55,35,75,115
216,teddiursa,6,88,66,generation-ii,False,normal,,60,80,50,50,50,40
217,ursaring,18,1258,175,generation-ii,False,normal,,90,130,75,75,75,55
218,slugma,7,350,50,generation-ii,False,fire,,40,40,40,70,40,20
219,magcargo,8,550,151,generation-ii,False,fire,rock,60,50,120,90,80,30
220,swinub,4,65,50,generation-ii,False,ice,ground,50,50,40,30,30,50
221,piloswine,11,558,158,generation-ii,False,ice,ground,100,100,80,60,60,50
222,corsola,6,50,144,generation-ii,False,water,rock,65,55,95,65,95,35
223,remoraid,6,120,60,generation-ii,False,water,,35,65,35,65,35,65
224,octillery,9,285,168,generation-ii,False,water,,75,105,75,105,75,45
225,delibird,9,160,116,generation-ii,False,ice,flying,45,55,45,65,45,75
226,mantine,21,2200,170,generation-ii,False,water,flying,85,40,70,80,140,70
227,skarmory,17,505,163,generation-ii,False,steel,flying,65,80,140,40,70,70
228,houndour,6,108,66,generation-ii,False,dark,fire,45,60,30,80,50,65
229,houndoom,14,350,175,generation-ii,False,dark,fire,75,90,50,110,80,95
230,kingdra,18,1520,243,generation-ii,False,water,dragon,75,95,95,95,95,85
231,phanpy,5,335,66,generation-ii,False,ground,,90,60,60,40,40,40
232,donphan,11,1200,175,generation-ii,False,ground,,90,120,120,60,60,50
233,porygon2,6,325,180,generation-ii,False,normal,,85,80,90,105,95,60
234,stantler,14,712,163,generation-ii,False,normal,,73,95,62,85,65,85
235,smeargle,12,580,88,generation-ii,False,normal,,55,20,35,20,45,75
236,tyrogue,7,210,42,generation-ii,False,fighting,,35,35,35,35,35,35
237,hitmontop,14,480,159,generation-ii,False,fighting,,50,95,95,35,110,70
238,smoochum,4,60,61,generation-ii,False,ice,psychic,45,30,15,85,65,65
239,elekid,6,235,72,generation-ii,False,electric,,45,63,37,65,55,95
240,magby,7,214,73,generation-ii,False,fire,,45,75,37,70,55,83
241,miltank,12,755,172,generation-ii,False,normal,,95,80,105,40,70,100
242,blissey,15,468,608,generation-ii,False,normal,,255,10,10,75,135,55
243,raikou,19,1780,261,generation-ii,True,electric,,90,85,75,115,100,115
244,entei,21,1980,261,generation-ii,True,fire,,115,115,85,90,75,100
245,suicune,20,1870,261,generation-ii,True,water,,100,75,115,90,115,85
246,larvitar,6,720,60,generation-ii,False,rock,ground,50,64,50,45,50,41
247,pupitar,12,1520,144,generation-ii,False,rock,ground,70,84,70,65,70,51
248,tyranitar,20,2020,270,generation-ii,False,rock,dark,100,134,110,95,100,61
249,lugia,52,2160,306,generation-ii,True,psychic,flying,106,90,130,90,154,110
250,ho-oh,38,1990,306,generation-ii,True,fire,flying,106,130,90,110,154,90
251,celebi,6,50,270,generation-ii,False,psychic,grass,100,100,100,100,100,100
252,treecko,5,50,62,generation-iii,False,grass,,40,45,35,65,55,70
253,grovyle,9,216,142,generation-iii,False,grass,,50,65,45,85,65,95
254,sceptile,17,522,239,generation-iii,False,grass,,70,85,65,105,85,120
255,torchic,4,25,62,generation-iii,False,fire,,45,60,40,70,50,45
256,combusken,9,195,142,generation-iii,False,fire,fighting,60,85,60,85,60,55
257,blaziken,19,520,239,generation-iii,False,fire,fighting,80,120,70,110,70,80
258,mudkip,4,76,62,generation-iii,False,water,,50,70,50,50,50,40
259,marshtomp,7,280,142,generation-iii,False,water,ground,70,85,70,60,70,50
260,swampert,15,819,241,generation-iii,False,water,ground,100,110,90,85,90,60
261,poochyena,5,136,56,generation-iii,False,dark,,35,55,35,30,30,35
262,mightyena,10,370,147,generation-iii,False,dark,,70,90,70,60,60,70
263,zigzagoon,4,175,56,generation-iii,False,normal,,38,30,41,30,41,60
264,linoone,5,325,147,generation-iii,False,normal,,78,70,61,50,61,100
265,wurmple,3,36,56,generation-iii,False,bug,,45,45,35,20,30,20
266,silcoon,6,100,72,generation-iii,False,bug,,50,35,55,25,25,15
267,beautifly,10,284,178,generation-iii,False,bug,flying,60,70,50,100,50,65
268,cascoon,7,115,72,generation-iii,False,bug,,50,35,55,25,25,15
269,dustox,12,316,173,generation-iii,False,bug,poison,60,50,70,50,90,65
270,lotad,5,26,44,generation-iii,False,water,grass,40,30,30,40,50,30
271,lombre,12,325,119,generation-iii,False,water,grass,60,50,50,60,70,50
272,ludicolo,15,550,216,generation-iii,False,water,grass,80,70,70,90,100,70
273,seedot,5,40,44,generation-iii,False,grass,,40,40,50,30,30,30
274,nuzleaf,10,280,119,generation-iii,False,grass,dark,70,70,40,60,40,60
275,shiftry,13,596,216,generation-iii,False,grass,dark,90,100,60,90,60,80
276,taillow,3,23,54,generation-iii,False,normal,flying,40,55,30,30,30,85
277,swellow,7,198,159,generation-iii,False,normal,flying,60,85,60,75,50,125
278,wingull,6,95,54,generation-iii,False,water,flying,40,30,30,55,30,85
279,pelipper,12,280,154,generation-iii,False,water,flying,60,50,100,95,70,65
280,ralts,4,66,40,generation-iii,False,psychic,fairy,28,25,25,45,35,40
281,kirlia,8,202,97,generation-iii,False,psychic,fairy,38,35,35,65,55,50
282,gardevoir,16,484,233,generation-iii,False,psychic,fairy,68,65,65,125,115,80
283,surskit,5,17,54,generation-iii,False,bug,water,40,30,32,50,52,65
284,masquerain,8,36,159,generation-iii,False,bug,flying,70,60,62,100,82,80
285,shroomish,4,45,59,generation-iii,False,grass,,60,40,60,40,60,35
286,breloom,12,392,161,generation-iii,False,grass,fighting,60,130,80,60,60,70
287,slakoth,8,240,56,generation-iii,False,normal,,60,60,60,35,35,30
288,vigoroth,14,465,154,generation-iii,False,normal,,80,80,80,55,55,90
289,slaking,20,1305,252,generation-iii,False,normal,,150,160,100,95,65,100
290,nincada,5,55,53,generation-iii,False,bug,ground,31,45,90,30,30,40
291,ninjask,8,120,160,generation-iii,False,bug,flying,61,90,45,50,50,160
292,shedinja,8,12,83,generation-iii,False,bug,ghost,1,90,45,30,30,40
293,whismur,6,163,48,generation-iii,False,normal,,64,51,23,51,23,28
294,loudred,10,405,126,generation-iii,False,normal,,84,71,43,71,43,48
295,exploud,15,840,221,generation-iii,False,normal,,104,91,63,91,73,68
296,makuhita,10,864,47,generation-iii,False,fighting,,72,60,30,20,30,25
297,hariyama,23,2538,166,generation-iii,False,fighting,,144,120,60,40,60,50
298,azurill,2,20,38,generation-iii,False,normal,fairy,50,20,40,20,40,20
299,nosepass,10,970,75,generation-iii,False,rock,,30,45,135,45,90,30
300,skitty,6,110,52,generation-iii,False,normal,,50,45,45,35,35,50
301,delcatty,11,326,140,generation-iii,False,normal,,70,65,65,55,55,90
302,sableye,5,110,133,generation-iii,False,dark,ghost,50,75,75,65,65,50
303,mawile,6,115,133,generation-iii,False,steel,fairy,50,85,85,55,55,50
304,aron,4,600,66,generation-iii,False,steel,rock,50,70,100,40,40,30
305,lairon,9,1200,151,generation-iii,False,steel,rock,60,90,140,50,50,40
306,aggron,21,3600,239,generation-iii,False,steel,rock,70,110,180,60,60,50
307,meditite,6,112,56,generation-iii,False,fighting,psychic,30,40,55,40,55,60
308,medicham,13,315,144,generation-iii,False,fighting,psychic,60,60,75,60,75,80
309,electrike,6,152,59,generation-iii,False,electric,,40,45,40,65,40,65
310,manectric,15,402,166,generation-iii,False,electric,,70,75,60,105,60,105
311,plusle,4,42,142,generation-iii,False,electric,,60,50,40,85,75,95
312,minun,4,42,142,generation-iii,False,electric,,60,40,50,75,85,95
313,volbeat,7,177,151,generation-iii,False,bug,,65,73,75,47,85,85
314,illumise,6,177,151,generation-iii,False,bug,,65,47,75,73,85,85
315,roselia,3,20,140,generation-iii,False,grass,poison,50,60,45,100,80,65
316,gulpin,4,103,60,generation-iii,False,poison,,70,43,53,43,53,40
317,swalot,17,800,163,generation-iii,False,poison,,100,73,83,73,83,55
318,carvanha,8,208,61,generation-iii,False,water,dark,45,90,20,65,20,65
319,sharpedo,18,888,161,generation-iii,False,water,dark,70,120,40,95,40,95
320,wailmer,20,1300,80,generation-iii,False,water,,130,70,35,70,35,60
321,wailord,145,3980,175,generation-iii,False,water,,170,90,45,90,45,60
322,numel,7,240,61,generation-iii,False,fire,ground,60,60,40,65,45,35
323,camerupt,19,2200,161,generation-iii,False,fire,ground,70,100,70,105,75,40
324,torkoal,5,804,165,generation-iii,False,fire,,70,85,140,85,70,20
325,spoink,7,306,66,generation-iii,False,psychic,,60,25,35,70,80,60
326,grumpig,9,715,165,generation-iii,False,psychic,,80,45,65,90,110,80
327,spinda,11,50,126,generation-iii,False,normal,,60,60,60,60,60,60
328,trapinch,7,150,58,generation-iii,False,ground,,45,100,45,45,45,10
329,vibrava,11,153,119,generation-iii,False,ground,dragon,50,70,50,50,50,70
330,flygon,20,820,234,generation-iii,False,ground,dragon,80,100,80,80,80,100
331,cacnea,4,513,67,generation-iii,False,grass,,50,85,40,85,40,35
332,cacturne,13,774,166,generation-iii,False,grass,dark,70,115,60,115,60,55
333,swablu,4,12,62,generation-iii,False,normal,flying,45,40,60,40,75,50
334,altaria,11,206,172,generation-iii,False,dragon,flying,75,70,90,70,105,80
335,zangoose,13,403,160,generation-iii,False,normal,,73,115,60,60,60,90
336,seviper,27,525,160,generation-iii,False,poison,,73,100,60,100,60,65
337,lunatone,10,1680,161,generation-iii,False,rock,psychic,90,55,65,95,85,70
